Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.6233151274568894,0.9996415376663208,297.0601445458801,117.81145150593005,0.9999020099639893,306.66115597690384,105.95264220505618,0.9998213052749634,283.1485301576155,109.20443683676652,0.9892659187316895,324.7244167446941,113.31965414325842,0.9300740957260132,266.4759626638577,126.94773622815228,0.9761045575141907,362.7354478776529,188.08435256710362,0.9600200653076172,244.44012855024968,193.81093457397003,0.7721649408340454,430.1791705680399,285.52756320224717,0.725619912147522,175.70032088795256,295.7987086454432,0.7633752226829529,411.1946004993758,210.64982248751556,0.8322081565856934,188.70943790964418,213.85704392946315,0.23437708616256714,338.3464029338327,357.9838190543071,0.2723134160041809,270.5834503745318,355.3713619694132,0.03404703736305237,431.8264766697877,287.2731351435705,0.07491698861122131,183.67504486579276,295.10704392946315,0.018350660800933838,413.57790067103616,208.35288896691634,0.014154255390167236,414.1993894350811,209.16783707865164
1,0.6256491682108711,0.9996269345283508,297.0563894740949,117.5237983770287,0.9999006390571594,306.54328573657926,105.78283493289638,0.9998019933700562,282.982575491573,109.13633348938825,0.9896938800811768,324.76167485955057,113.30738920099873,0.9344356060028076,266.7803673142946,127.47173942727841,0.9769078493118286,362.463253940387,188.04916705680398,0.9653681516647339,244.19629272003743,193.93597358770285,0.8028481602668762,430.22203690699126,285.4236403714107,0.7671406269073486,175.55234911438825,295.97880578963793,0.7513134479522705,410.54038896691634,210.56840570380774,0.812430739402771,188.53369323501872,214.041871488764,0.21975663304328918,338.7421484862671,358.45725070224717,0.30087798833847046,270.66559866573033,355.6311446629213,0.039852797985076904,431.82598899812734,287.50848548689135,0.04244279861450195,184.1302741690075,295.5502399344569,0.01879185438156128,413.4479849406991,208.23562831616726,0.01484575867652893,414.17481078339574,208.974036360799
2,0.618246944511638,0.9996502995491028,297.01171875,117.50409644194752,0.9998974204063416,306.4294875546192,105.76596149344567,0.9998042583465576,283.0162736033083,109.1678614622347,0.9886807203292847,324.6233711766542,113.46217618601747,0.9358489513397217,266.69265956616726,127.23175620318352,0.97799152135849,362.36286672908864,187.83110467384518,0.9638135433197021,244.20804560705366,193.77965043695377,0.7780551910400391,429.8960771691635,285.2855317571785,0.7605079412460327,175.67181647940075,296.0185510299625,0.7260469198226929,410.7138050093633,210.18221851591755,0.8095575571060181,188.41966340901996,214.22011548064916,0.1967087984085083,338.8746732599875,359.77118445692884,0.2811089754104614,271.2279328573658,356.9697058364544,0.0351729691028595,431.7766853932584,287.60109433520597,0.030853748321533203,184.3075672011548,295.3904299313358,0.014748215675354004,413.4618835830212,208.40131476279646,0.011751025915145874,414.2406952247191,209.16981214887636
3,0.6253252292380613,0.9996532201766968,296.80092267478153,117.46037667759049,0.9998891353607178,306.23961259363296,105.60566381866417,0.9997926950454712,282.8325433052434,109.34222846441946,0.9865466356277466,324.261274968789,113.47378277153555,0.9306436777114868,266.2790652309613,127.01006066635455,0.9778063297271729,362.3946629213483,187.9206655742821,0.9667022228240967,244.02994791666666,193.72793285736577,0.8087522983551025,430.2371547284644,284.81765956616726,0.7724738121032715,175.16150466214106,296.2274208021223,0.750258207321167,412.7189158083645,207.8149627418851,0.8203794956207275,188.39151256242195,214.208411360799,0.2083086371421814,338.5487866729088,358.8969354712859,0.29749858379364014,270.6302668539326,357.62425873907614,0.041820913553237915,432.2776217228464,287.3751560549313,0.038564085960388184,183.81639649656677,295.4476825842696,0.018115311861038208,413.6516853932584,208.29673357521847,0.01332363486289978,414.4999414794007,209.0409205290262
4,0.6238285232992733,0.9996438026428223,296.6007822253433,117.69831168071158,0.9998959302902222,306.27821180555554,105.57425776373282,0.9997918605804443,282.5958762484394,109.47051049469411,0.9870478510856628,324.2287472690387,113.41609121410735,0.9248675107955933,266.15853718008736,126.83683969257174,0.9780595302581787,362.51833645443196,188.27605629681648,0.9658175706863403,244.19231819600498,194.00929502184766,0.780402421951294,430.25836844569284,284.90943937265916,0.7754257917404175,174.86981605024968,296.3306121254681,0.7710157632827759,411.8165769350811,208.38622132490633,0.8431210517883301,188.47751345973782,214.26373771067415,0.203402578830719,338.1280967150437,358.4212117665418,0.27881211042404175,270.2013108614232,356.83257256554305,0.04029923677444458,432.2265625,286.97824009051186,0.02614864706993103,184.32203885767788,295.48494069912607,0.018299996852874756,413.35415691323345,208.63164208801498,0.013033241033554077,410.09426693196,216.4112242509363
5,0.6266879912684945,0.9996547698974609,296.5624024656679,117.74268980181023,0.9998986721038818,306.22834737827714,105.6963707475031,0.9998133778572083,282.4982199984394,109.17783434769038,0.9874756336212158,324.14923240480647,113.74685451779024,0.9223285913467407,264.4742899500624,124.62605337078651,0.9778683185577393,362.81947370474404,188.37566323345817,0.9690502882003784,244.29950842696627,194.057940269975,0.8279074430465698,430.4624590355805,284.8480415106117,0.7830097675323486,174.8967233341136,296.37737983770285,0.7396298050880432,412.58856117353304,208.08662024032458,0.799339234828949,187.30967394272784,215.2415925405743,0.2240571677684784,338.4032410658552,358.07555009363296,0.32553836703300476,269.9151207475031,356.44106975655427,0.04338690638542175,431.94264005930086,287.4845408083645,0.02566629648208618,184.67171162999375,295.69322526529334,0.01643010973930359,413.7228854556804,208.16737866729085,0.012641102075576782,414.462341994382,208.95387113764042
6,0.6280559178660897,0.9996752738952637,296.6244586844569,117.69721441947564,0.9999037981033325,306.2300298455056,105.72482638888889,0.9997974634170532,282.4772501170412,109.22218808520597,0.9879181385040283,324.16459406210987,113.63915223158551,0.924893319606781,264.5452949438202,124.9065133426966,0.975496768951416,362.39910073345817,188.33811251560547,0.965711236000061,244.61420294943818,194.07661809456926,0.7997382879257202,430.3239115168539,284.80532147315853,0.7874821424484253,176.82451379135455,293.5128940387016,0.7620338201522827,412.3053702403246,208.14843262328338,0.807600736618042,186.7700286750936,215.8208245552434,0.25442829728126526,338.9480922284644,357.88701622971286,0.31992006301879883,270.13469491260923,355.5461434925093,0.04295673966407776,431.73333138264667,287.0895755305867,0.0163327157497406,185.0950350148252,295.52112593632955,0.018489331007003784,413.794865792759,208.12378082084894,0.014572471380233765,414.6373673533083,208.89508231897628
7,0.624495325719609,0.9996777772903442,296.7262357599875,117.67341604244695,0.9999027252197266,306.36474914169787,105.6986628043071,0.9997839331626892,282.56039813514354,109.3893863139825,0.9877675771713257,324.18541764200995,113.54249570848938,0.9338165521621704,264.6458284566167,124.73892497659176,0.9732864499092102,362.4949769818976,188.42030957397003,0.9700056314468384,244.62139610642944,194.01246488764042,0.7636471390724182,430.57784215043694,284.9298728152309,0.8010146021842957,176.6490251443508,293.30524344569284,0.776299238204956,411.9471266385768,207.9084493991885,0.784928560256958,186.54869889200998,215.2719744850187,0.22264400124549866,338.9531396301498,359.61064294631706,0.31122276186943054,270.05508251404495,356.1962098158551,0.044674813747406006,431.7534722222222,286.8665145131086,0.01634502410888672,306.55262464887636,397.9770891853932,0.018299132585525513,413.8367567883895,208.24906367041194,0.013104617595672607,414.8156113451935,208.92056316323345
8,0.6200294722529018,0.9996472597122192,296.9192074360175,117.69736072097379,0.9998911023139954,306.32210225499375,105.767497659176,0.9997906684875488,282.6946785268414,109.17693215511858,0.9860708117485046,324.06613315387017,113.2988549469413,0.9339033961296082,264.8364105415106,124.68172109082394,0.9724361896514893,362.24397237827714,188.03565855181023,0.9687813520431519,244.4587819912609,193.50969978932585,0.7558554410934448,430.0165808364544,284.50559847066165,0.806158185005188,174.42999717150437,296.46959854868913,0.6993822455406189,412.66102918227216,207.97743055555554,0.8005501627922058,186.09688329041822,214.69027972846442,0.2308541238307953,338.9875692493758,359.55363412921344,0.300236314535141,270.28855532147315,357.03915028089887,0.04320955276489258,432.0369069912609,286.5998556491885,0.015484720468521118,185.00579110096754,294.6084971910112,0.016010016202926636,413.955651139201,208.6886509051186,0.0122394859790802,259.6526802434457,347.4347007646691
9,0.6171983550576603,0.9996535778045654,296.99150475967537,117.44840433832707,0.9998916387557983,306.41456480181023,105.74330914481897,0.9997997879981995,282.791798338015,108.87435627340824,0.9852615594863892,324.09054112047437,113.32192181647937,0.9392357468605042,265.03177180867664,124.68347670880149,0.9696246981620789,362.4022705992509,188.11071122034957,0.9716607928276062,244.3502018960674,193.68601747815228,0.7277592420578003,429.8174644975031,284.5478308364544,0.7825312614440918,174.61072828885767,296.4736462234706,0.7224017381668091,411.6192649812734,207.53801400593005,0.7970238327980042,185.83418675873907,213.8813543617353,0.23513808846473694,339.20789930555554,359.2806843008739,0.2796526849269867,270.1905820848939,357.55627730961294,0.03989550471305847,432.0897218320849,286.3774286048689,0.01769077777862549,187.85150154104244,278.17620552434454,0.014007419347763062,414.46999843945065,208.74307506242195,0.011143684387207031,259.872547011548,346.86787999375775
